Sample name,depth,chloride,Br,sulfate,methane,δ13CCH4,C2H6,C3H8,C-ratio,C4H10,δ13CDIC,DIC,TN(%),TS(%),TOC(%),TIC(%)
COM01-C1-01-060712,43.75,245.4,1.06,0.125,0.72,-47.4,0.62,0.03,1107.91,0.33,NA,NA,0.098,0.324,0.541,2.131
COM01-C1-02-060712,41.25,242.7,1.07,0.099,1.05,-48.3,1.25,0.1,777.7,0.43,NA,NA,0.092,0.495,0.525,2.271
COM01-C1-03-060712,38.75,247.7,1.05,0.041,1,-48.1,1.45,0.06,662.76,0.45,NA,NA,0.074,0.829,0.379,2.042
COM01-C1-04-060712,36.25,230.8,1.04,0.114,0.66,-48,0.69,0.05,885.21,0,NA,NA,0.104,0.491,0.528,2.07
COM01-C1-05-060712,33.75,240.9,1.04,0.09,0.64,-47.9,0.92,0.05,656.33,0,NA,NA,0.097,0.386,0.53,2.124
COM01-C1-06-060712,31.25,243.2,1.06,0.046,0.95,-47.8,1.58,0.14,551.48,0.55,NA,NA,0.086,0.393,0.449,1.844
COM01-C1-07-060712,28.75,235.7,1.03,0.01,0.81,-47.5,1.04,0.06,733.2,0.48,NA,NA,0.088,0.442,0.476,1.955
COM01-C1-08-060712,26.25,241.5,1.05,0.01,0.82,-47.6,1.14,0.12,648.5,0.45,24.51,17.8,0.089,0.516,0.471,2.07
COM01-C1-09-060712,23.75,239.3,1.06,0.01,0.86,-47.2,1.19,0.1,666.63,0.45,24.97,17.7,0.096,0.567,0.509,2.11
COM01-C1-10-060712,21.25,233.6,1.04,0.01,0.92,-46.8,1.45,0.13,582.01,0.23,NA,NA,0.085,0.49,0.462,2.232
COM01-C1-11-060712,18.75,238.4,1.05,0.01,0.92,-46.3,1.6,0.12,537.19,0.49,26.48,17.69,0.069,1.11,0.404,1.971
COM01-C1-12-060712,16.25,241.3,1.05,0.01,0.88,-45.6,1.69,0.11,488.91,0.38,26.88,17.73,0.067,0.848,0.367,1.964
COM01-C1-13-060712,13.75,235.7,1.03,0.01,0.75,-44.9,1.45,0.1,486.06,0.39,26.55,18.15,0.091,0.703,0.494,1.957
COM01-C1-14-060712,11.25,234,1.05,0.01,0.69,-43.8,1.49,0.11,433.38,0.39,27.2,16.17,0.086,0.845,0.459,2.31
COM01-C1-15-060712,9,250.8,1.08,0.01,0.63,-41.9,1.41,0.12,410.16,0.36,28.34,15.65,0.085,0.815,0.479,2.278
COM01-C1-16-060712,6.75,253.6,1.12,0.01,0.58,-39.7,1.12,0.07,486.77,0.36,28.76,17,0.087,0.683,0.486,2.322
COM01-C1-17-060712,4.25,270.7,1.19,0.01,1.36,-38.2,1.58,0.11,803.99,0.39,29.43,17.02,0.093,0.582,0.498,2.247
COM01-C1-18-060712,1.5,299.1,1.35,0.051,1.58,-35.5,1.62,0.11,906.89,0.49,28.59,18.91,0.079,0.979,0.453,2.307
COM01-ew1-060712,0,226.9,1.01,0.01,1.06,-44.9,2.67,0.07,388.47,0.14,29.51,17.42,0.091,0.536,0.578,2.285