SampleID,sample_name,core,site,Location,NA,Depth,Longitude,Latitude,Sulfate,Chloride,Methane,TN,TS,TOC,TIC
AK03_C1_01,AK03_48cm,Georgia-AK03,Georgia-AK,Georgia,no,47.8,45.91322,41.41953,0,514.3,3.63E-05,0.0543,0.0793,0.3376,2.3765
AK03_C1_04,AK03_40cm,Georgia-AK03,Georgia-AK,Georgia,no,40.3,45.91322,41.41953,0,509.9,0.000137249,0.0575,0.0846,0.3311,2.4125
AK03_C1_08,AK03_30cm,Georgia-AK03,Georgia-AK,Georgia,no,29.8,45.91322,41.41953,0,511,0.000151564,0.0591,0.0695,0.3218,2.5115
AK03_C1_12,AK03_20cm,Georgia-AK03,Georgia-AK,Georgia,no,19.8,45.91322,41.41953,0,506.5,0.000162788,0.0549,0.1057,0.2944,2.4968
AK03_C1_13,AK03_C1_17cm,Georgia-AK03,Georgia-AK,Georgia,no,17.3,45.91322,41.41953,0,500.8,0.000124788,0.0515,0.0946,0.2503,2.6049
AK03_C1_16,AK03_C1_10cm,Georgia-AK03,Georgia-AK,Georgia,no,9.8,45.91322,41.41953,0,505.4,0.00012892,0.056,0.0545,0.233,2.135
AK03_C1_19,AK03_C1_2cm,Georgia-AK03,Georgia-AK,Georgia,no,2.3,45.91322,41.41953,0,506.1,0.000179149,0.083,0.1405,0.3749,2.5621
AK03_C1_ew,AK03_C1_ew,Georgia-AK03,Georgia-AK,Georgia,no,0.0,45.91322,41.41953,0,402.7,0.000404738,0.083,0.1345,0.3292,2.2208
GJ01_C1_01,GJ01_C1_42cm,Georgia-GJ01,Georgia-GJ,Georgia,no,42.3,45.79261,41.74531,0,249.9,3.60E-04,0.064,0.2605,1.2186,1.5324
GJ01_C1_05,GJ01_C1_32cm,Georgia-GJ01,Georgia-GJ,Georgia,no,32.3,45.79261,41.74531,0,268.2,2.24E-04,0.057,0.299,0.9332,1.6693
GJ01_C1_11,GJ01_C1_17cm,Georgia-GJ01,Georgia-GJ,Georgia,no,17.3,45.79261,41.74531,0,255.7,3.32E-04,0.0775,0.1875,1.31,1.4355
GJ01_C1_15,GJ01_C1_7cm,Georgia-GJ01,Georgia-GJ,Georgia,no,7.3,45.79261,41.74531,0,255.4,2.48E-04,0.074,0.198,1.1135,1.511
GJ01_C1_17,GJ01_C1_2cm,Georgia-GJ01,Georgia-GJ,Georgia,no,2.2,45.79261,41.74531,0,283.6,9.40E-05,0.1145,0.159,1.7973,1.2812
GJ01_C1_18,GJ01_C1_1cm,Georgia-GJ01,Georgia-GJ,Georgia,no,0.5,45.79261,41.74531,0,283.5,1.03E-04,0.06,0.2725,0.5161,1.8229
GJ01_C1_ew01,GJ01_C1_ew,Georgia-GJ01,Georgia-GJ,Georgia,no,0.0,45.79261,41.74531,0,283.5,2.48E-04,0.0567,0.2304,0.8094,1.6242
QK01_biofilm,QK01_biofilm,Georgia-QK01,Georgia-QK,Georgia,yes,0.0,45.80564,41.28905,0,NA,NA,NA,NA,NA,NA
QK01_C1_01,QK01_C1_21cm,Georgia-QK01,Georgia-QK,Georgia,no,20.8,45.80564,41.28905,0,188.5,0.000355474,0.0855,0.3715,1.1904,1.7871
QK01_C1_04,QK01_C1_16cm,Georgia-QK01,Georgia-QK,Georgia,no,15.8,45.80564,41.28905,0,206.8,0.000445685,0.0865,0.7235,1.7055,1.9495
QK01_C1_08,QK01_C1_10cm,Georgia-QK01,Georgia-QK,Georgia,no,9.8,45.80564,41.28905,0,200.8,0.000422528,0.091,0.3755,1.7672,1.8368
QK01_C1_12,QK01_C1_4cm,Georgia-QK01,Georgia-QK,Georgia,no,3.8,45.80564,41.28905,0,538.9,0.000368435,0.0875,0.087,2.2982,1.9608
QK01_C1_13,QK01_C1_2cm,Georgia-QK01,Georgia-QK,Georgia,no,2.3,45.80564,41.28905,0,370.6,0.000954465,0.0935,0.0945,2.5611,2.0769
QK01_C1_14,QK01_C1_1cm,Georgia-QK01,Georgia-QK,Georgia,no,0.8,45.80564,41.28905,0,789.2,0.000195797,0.0985,0.149,2.2379,2.6131
QK01_C1_ew,QK01_C1_ew,Georgia-QK01,Georgia-QK,Georgia,yes,0.0,45.80564,41.28905,0,NA,0.000559191,0.084,0.3395,1.6349,1.4736
QK01_mat,QK01_mat,Georgia-QK01,Georgia-QK,Georgia,yes,0.0,45.80564,41.28905,0,NA,0,NA,NA,NA,NA
QK01_oil,QK01_oil,Georgia-QK01,Georgia-QK,Georgia,yes,0.0,45.80564,41.28905,0,NA,0,NA,NA,NA,NA
GG01_C1_0,GG01_C1_0cm,Iran-GG01,Iran-GG,Iran,no,0.0,54.39608,37.11856,248.34,4688.6,0.01,0.034,1.402,0.323,0.922
GG01_C1_02,GG01_C1_42cm,Iran-GG01,Iran-GG,Iran,no,41.8,54.39608,37.11856,288.11,3850.3,3.78E-06,0.0821,1.974,0.4837,1.3032
GG01_C1_06,GG01_C1_32cm,Iran-GG01,Iran-GG,Iran,no,31.8,54.39608,37.11856,241.8,3549,2.83E-06,0.0725,1.998,0.4786,1.3702
GG01_C1_13,GG01_C1_14cm,Iran-GG01,Iran-GG,Iran,no,14.3,54.39608,37.11856,225.6,3273.3,3.58E-06,0.0586,2.055,0.3889,1.4939
GG01_C1_19,GG01_C1_1cm,Iran-GG01,Iran-GG,Iran,no,0.3,54.39608,37.11856,190.63,4890.4,0,0.031,2.149,0.137,1.561
GG01_C1_ss01,GG01_C1_ss01,Iran-GG01,Iran-GG,Iran,no,0.0,54.39608,37.11856,220.57,4778.8,0,0.033,2.915,0.16,1.182
GG01_C1_sw01,GG01_C1_sw01,Iran-GG01,Iran-GG,Iran,yes,0.0,54.39608,37.11856,220.57,4778.8,0,NA,NA,NA,NA
TA01_C1_01,TA01_C1_45cm,Iran-TA01,Iran-TA,Iran,no,44.5,59.93306,25.46697,0,149.8,0,0.0795,0.1965,0.4183,1.0522
TA01_C1_04,TA01_C1_35cm,Iran-TA01,Iran-TA,Iran,no,34.5,59.93306,25.46697,0,147.2,3.29E-04,0.0775,0.2966,0.2259,1.3995
TA01_C1_11,TA01_C1_14cm,Iran-TA01,Iran-TA,Iran,no,13.5,59.93306,25.46697,0,148.3,2.86E-04,0.0781,0.2395,0.2511,1.3635
TA01_C1_15,TA01_C1_2cm,Iran-TA01,Iran-TA,Iran,no,1.5,59.93306,25.46697,0,152.2,2.48E-04,0.0792,0.2432,0.2237,1.3799
TA01_C1_ew,TA01_C1_ew,Iran-TA01,Iran-TA,Iran,no,0.0,59.93306,25.46697,0,143.6,0.00E+00,0.056,0.332,0.163,1.7778
TA03_C1_ew,TA03_C1_ew,Iran-TA03,Iran-TA,Iran,no,0.0,59.93306,25.46697,0,146,0.00E+00,0.061,0.2875,0.1742,1.7666
SH01_C2_04,SH01_C2_34cm,Myanmar-SH01,Myanmar-SH,Myanmar,no,34.0,93.57119,19.36975,11.48,120.5,5.25E-05,0.0843,0.2802,0.4832,0.5771
SH01_C2_07,SH01_C2_28cm,Myanmar-SH01,Myanmar-SH,Myanmar,no,28.0,93.57119,19.36975,12.57,118.3,2.87E-05,0.0874,0.3148,0.4715,0.4886
SH01_C2_12,SH01_C2_18cm,Myanmar-SH01,Myanmar-SH,Myanmar,no,17.5,93.57119,19.36975,1.48,102.8,9.45E-05,0.0858,0.3095,0.4867,0.4733
SH01_C2_17,SH01_C2_8cm,Myanmar-SH01,Myanmar-SH,Myanmar,no,7.5,93.57119,19.36975,1.98,85.8,0.000160543,0.0782,0.3168,0.468,0.4756
SH01_C2_19,SH01_C2_3cm,Myanmar-SH01,Myanmar-SH,Myanmar,no,3.0,93.57119,19.36975,1.99,88.1,0.000132265,0.0773,0.3234,0.4784,0.4623
SH01_ew01,SH01_ew01,Myanmar-SH01,Myanmar-SH,Myanmar,no,0.0,93.57119,19.36975,1.58,88.7,0.000144477,0.0974,0.3291,0.4616,0.4659
SI02_C1_02,SI02_C1_45cm,Myanmar-SI02,Myanmar-SI,Myanmar,no,45.0,93.59169,19.39778,1.32,90.1,1.65E-04,0.0795,0.3242,0.4211,0.4389
SI02_C1_05,SI02_C1_38cm,Myanmar-SI02,Myanmar-SI,Myanmar,no,38.0,93.59169,19.39778,1.82,82.4,1.79E-04,0.0811,0.3593,0.3908,0.4584
SI02_C1_08,SI02_C1_32cm,Myanmar-SI02,Myanmar-SI,Myanmar,no,32.0,93.59169,19.39778,2.08,86,2.87E-04,0.0823,0.3453,0.4441,0.4412
SI02_C1_12,SI02_C1_23cm,Myanmar-SI02,Myanmar-SI,Myanmar,no,23.0,93.59169,19.39778,1.43,85.2,2.64E-04,0.0761,0.3155,0.424,0.509
SI02_C1_19,SI02_C1_9cm,Myanmar-SI02,Myanmar-SI,Myanmar,no,9.0,93.59169,19.39778,1.94,86.2,3.11E-04,0.0876,0.3054,0.4246,0.5555
SI02_C1_23,SI02_C1_1cm,Myanmar-SI02,Myanmar-SI,Myanmar,no,1.0,93.59169,19.39778,1.83,89.3,2.42E-04,0.0851,0.3382,0.4304,0.4832
SI02_C1_ew01,SI02_C1_ew01,Myanmar-SI02,Myanmar-SI,Myanmar,no,0.0,93.59169,19.39778,0.73,82.6,1.52E-04,0.0872,0.307,0.4261,0.5283
AR01_C1_01,AR01_C1_66cm,Italy-AR01,Italy-AR,Italy,no,65.5,13.6,37.37667,0.349,256.3,0.000135912,0.119,0.284,0.537,1.196
AR01_C1_02,AR01_C1_63cm,Italy-AR01,Italy-AR,Italy,no,62.5,13.6,37.37667,0.328,250.6,0.000137605,0.118,0.277,0.529,1.204
AR01_C1_05,AR01_C1_54cm,Italy-AR01,Italy-AR,Italy,no,53.5,13.6,37.37667,0.227,242,0.000163828,0.116,0.299,0.56,1.423
AR01_C1_09,AR01_C1_42cm,Italy-AR01,Italy-AR,Italy,no,41.5,13.6,37.37667,0,235.1,0.00028932,0.116,0.329,0.566,1.219
AR01_C1_13,AR01_C1_30cm,Italy-AR01,Italy-AR,Italy,no,29.5,13.6,37.37667,0,231.8,0.000552532,0.127,0.271,0.629,1.184
AR01_C1_17,AR01_C1_18cm,Italy-AR01,Italy-AR,Italy,no,17.5,13.6,37.37667,0,243,0.00046946,0.115,0.257,0.669,1.212
AR01_C1_18,AR01_C1_15cm,Italy-AR01,Italy-AR,Italy,no,14.5,13.6,37.37667,0,275.2,0.001261046,0.119,0.263,0.697,1.248
AR01_C1_19,AR01_C1_12cm,Italy-AR01,Italy-AR,Italy,no,11.5,13.6,37.37667,0,286,0.000504431,0.105,0.359,0.57,1.407
AR01_C1_22,AR01_C1_2cm,Italy-AR01,Italy-AR,Italy,no,1.5,13.6,37.37667,0.134,273.2,0.000350649,0.114,0.346,0.556,1.286
AR01_C1_ew,AR01_C1_ew,Italy-AR01,Italy-AR,Italy,no,0.0,13.6,37.37667,0.418,276.4,0.000581866,0.108,0.362,0.548,1.291
COM01_C1_01,COM01_C1_44cm,Italy-COM01,Italy-COM,Italy,no,43.8,13.65194,37.44306,0.125,245.4,2.58E-04,0.098,0.324,0.541,2.131
COM01_C1_02,COM01_C1_41cm,Italy-COM01,Italy-COM,Italy,no,41.3,13.65194,37.44306,0.099,242.7,3.52E-04,0.092,0.495,0.525,2.271
COM01_C1_04,COM01_C1_36cm,Italy-COM01,Italy-COM,Italy,no,36.3,13.65194,37.44306,0.114,230.8,2.65E-04,0.104,0.491,0.528,2.07
COM01_C1_05,COM01_C1_34cm,Italy-COM01,Italy-COM,Italy,no,33.8,13.65194,37.44306,0.09,240.9,2.23E-04,0.097,0.386,0.53,2.124
COM01_C1_08,COM01_C1_26cm,Italy-COM01,Italy-COM,Italy,no,26.3,13.65194,37.44306,0,241.5,3.23E-04,0.089,0.516,0.471,2.07
COM01_C1_11,COM01_C1_19cm,Italy-COM01,Italy-COM,Italy,no,18.8,13.65194,37.44306,0,238.4,2.86E-04,0.069,1.11,0.404,1.971
COM01_C1_14,COM01_C1_11cm,Italy-COM01,Italy-COM,Italy,no,11.3,13.65194,37.44306,0,234,2.70E-04,0.086,0.845,0.459,2.31
COM01_C1_15,COM01_C1_9cm,Italy-COM01,Italy-COM,Italy,no,9.0,13.65194,37.44306,0,250.8,2.70E-04,0.085,0.815,0.479,2.278
COM01_C1_17,COM01_C1_4cm,Italy-COM01,Italy-COM,Italy,no,4.3,13.65194,37.44306,0,270.7,6.96E-04,0.087,0.683,0.486,2.322
COM01_C1_18,COM01_C1_2cm,Italy-COM01,Italy-COM,Italy,no,1.5,13.65194,37.44306,0.051,299.1,6.41E-04,0.093,0.582,0.498,2.247
COM01_ew1,COM01_ew1,Italy-COM01,Italy-COM,Italy,no,0.0,13.65194,37.44306,0,226.9,8.50E-04,0.079,0.979,0.453,2.307
PA01_C1_01,PA01_C1_53cm,Italy-PA01,Italy-PA01,Italy,no,53.0,14.91972,37.54472,0,1054.3,0,0.068,0.28,0.33,1.993
PA01_C1_05,PA01_C1_41cm,Italy-PA01,Italy-PA01,Italy,no,41.0,14.91972,37.54472,0,1091,0,0.077,0.285,0.379,1.95
PA01_C1_09,PA01_C1_29cm,Italy-PA01,Italy-PA01,Italy,no,29.0,14.91972,37.54472,0,1063.2,0,0.08,0.255,0.37,2.008
PA01_C1_12,PA01_C1_20cm,Italy-PA01,Italy-PA01,Italy,no,20.0,14.91972,37.54472,0,1071.9,0,0.079,0.22,0.413,1.926
PA01_C1_13,PA01_C1_17cm,Italy-PA01,Italy-PA01,Italy,no,17.0,14.91972,37.54472,0,1060,0,0.079,0.294,0.401,1.93
PA01_C1_14,PA01_C1_14cm,Italy-PA01,Italy-PA01,Italy,no,13.8,14.91972,37.54472,0,1046.8,0,0.078,0.245,0.398,1.952
PA01_C1_15,PA01_C1_11cm,Italy-PA01,Italy-PA01,Italy,no,10.5,14.91972,37.54472,0,1075.3,0,0.078,0.224,0.416,1.916
PA01_C1_16,PA01_C1_8cm,Italy-PA01,Italy-PA01,Italy,no,7.5,14.91972,37.54472,0,1075.1,0,0.083,0.212,0.417,1.891
PA01_C1_18,PA01_C1_2cm,Italy-PA01,Italy-PA01,Italy,no,1.5,14.91972,37.54472,0,1175.9,0,0.086,0.212,0.444,1.938
PA01_C1_salt,PA01_C1_salt,Italy-PA01,Italy-PA01,Italy,yes,0.0,14.91972,37.54472,0,NA,0,0.06,0.298,0.301,1.936
PA02_C1_01,PA02_C1_39cm,Italy-PA02,Italy-PA02,Italy,no,39.0,14.89028,37.57278,0,1763.4,7.62E-06,0.073,0.307,0.27,2.513
PA02_C1_04,PA02_C1_31cm,Italy-PA02,Italy-PA02,Italy,no,31.0,14.89028,37.57278,0,1737,9.06E-06,0.059,1.753,0.372,4.135
PA02_C1_07,PA02_C1_23cm,Italy-PA02,Italy-PA02,Italy,no,22.8,14.89028,37.57278,0,1709.3,9.02E-06,0.058,0.355,0.372,5.018
PA02_C1_11,PA02_C1_13cm,Italy-PA02,Italy-PA02,Italy,no,12.8,14.89028,37.57278,0,1836.3,6.45E-06,0.072,0.633,0.332,3.081
PA02_C1_14,PA02_C1_5cm,Italy-PA02,Italy-PA02,Italy,no,5.3,14.89028,37.57278,0,2005.3,6.48E-06,0.066,0.688,0.335,3.143
PA02_C1_16,PA02_C1_1cm,Italy-PA02,Italy-PA02,Italy,no,0.8,14.89028,37.57278,0,1314.2,9.88E-06,0.057,0.846,0.373,3.444
PA02_C1_ew,PA02_C1_ew,Italy-PA02,Italy-PA02,Italy,yes,0.0,14.89028,37.57278,0,1185.1,5.53E-06,NA,NA,NA,NA
LGH03_C4_01,LGH03_C4_2.5cm,Taiwan-LGH03,Taiwan-LGH,Taiwan,no,2.5,121.2094,22.98306,0,369.6,1.04E-04,0.0835,0.2231,0.4352,0.3898
LGH03_C4_02,LGH03_C4_7.5cm,Taiwan-LGH03,Taiwan-LGH,Taiwan,no,7.5,121.2094,22.98306,0,448.6,1.33E-04,0.0795,0.2375,0.4339,0.3656
LGH03_C4_03,LGH03_C4_12.5cm,Taiwan-LGH03,Taiwan-LGH,Taiwan,no,12.5,121.2094,22.98306,0,364.7,1.36E-04,0.077,0.2107,0.4597,0.3403
LGH03_C4_04,LGH03_C4_17.5cm,Taiwan-LGH03,Taiwan-LGH,Taiwan,no,17.5,121.2094,22.98306,0,366.8,1.24E-04,0.0795,0.2035,0.8596,0.0279
LGH03_C4_06,LGH03_C4_28cm,Taiwan-LGH03,Taiwan-LGH,Taiwan,no,27.5,121.2094,22.98306,0,373,1.62E-04,0.088,0.16,0.5046,0.4084
LGH03_C4_10,LGH03_C4_48cm,Taiwan-LGH03,Taiwan-LGH,Taiwan,no,47.5,121.2094,22.98306,0,397.6,1.85E-04,0.084,0.1675,0.4418,0.3792
LGH03_C4_14,LGH03_C4_68cm,Taiwan-LGH03,Taiwan-LGH,Taiwan,no,67.5,121.2094,22.98306,0,369.7,2.32E-04,0.0785,0.169,0.4129,0.3966
LGH03_C4_18,LGH03_C4_88cm,Taiwan-LGH03,Taiwan-LGH,Taiwan,no,87.5,121.2094,22.98306,0,389.4,2.38E-04,0.086,0.1645,0.4655,0.3725
LGH03_C4_30,LGH03_C4_108cm,Taiwan-LGH03,Taiwan-LGH,Taiwan,no,107.5,121.2094,22.98306,0,402.6,2.50E-04,0.084,0.162,0.4976,0.3229
LGH03_C4_34,LGH03_C4_128cm,Taiwan-LGH03,Taiwan-LGH,Taiwan,no,127.5,121.2094,22.98306,0,401.8,2.64E-04,0.0775,0.1765,0.4524,0.3566
LGH03_C4_40,LGH03_C4_158cm,Taiwan-LGH03,Taiwan-LGH,Taiwan,no,157.5,121.2094,22.98306,0,368.4,2.86E-04,0.084,0.177,0.481,0.3405
LGH03_C4_ew,LGH03_C4_ew,Taiwan-LGH03,Taiwan-LGH,Taiwan,yes,0.0,121.2094,22.98306,0,326.2,5.64E-04,0.083,0.4862,NA,0.388
SYNH02_C11_01,SYNH02_C11_1cm,Taiwan-SYNH02-C11,Taiwan-SYNH,Taiwan,no,1.0,120.409479,22.803134,3.59,238.67,1.53E-04,0.117,0.136,0.675,0.518
SYNH02_C11_02,SYNH02_C11_3cm,Taiwan-SYNH02-C11,Taiwan-SYNH,Taiwan,no,3.0,120.409479,22.803134,0.91,149.4,1.71E-04,0.146,0.113,0.806,0.535
SYNH02_C11_03,SYNH02_C11_5cm,Taiwan-SYNH02-C11,Taiwan-SYNH,Taiwan,no,5.0,120.409479,22.803134,0.64,138.35,2.41E-04,0.152,0.116,0.876,0.499
SYNH02_C11_04,SYNH02_C11_7cm,Taiwan-SYNH02-C11,Taiwan-SYNH,Taiwan,no,7.0,120.409479,22.803134,0.39,134.33,2.04E-04,0.148,0.122,0.999,0.346
SYNH02_C11_05,SYNH02_C11_9cm,Taiwan-SYNH02-C11,Taiwan-SYNH,Taiwan,no,9.0,120.409479,22.803134,0.36,126.39,2.39E-04,0.105,0.131,0.666,0.472
SYNH02_C11_06,SYNH02_C11_11cm,Taiwan-SYNH02-C11,Taiwan-SYNH,Taiwan,no,11.0,120.409479,22.803134,0.33,131.6,2.35E-04,0.123,0.109,0.751,0.493
SYNH02_C11_07,SYNH02_C11_13cm,Taiwan-SYNH02-C11,Taiwan-SYNH,Taiwan,no,13.0,120.409479,22.803134,0.42,132.53,2.68E-04,0.115,0.112,0.681,0.502
SYNH02_C11_08,SYNH02_C11_15cm,Taiwan-SYNH02-C11,Taiwan-SYNH,Taiwan,no,15.0,120.409479,22.803134,0.38,109.83,3.36E-04,0.096,0.118,0.515,0.541
SYNH02_C11_09,SYNH02_C11_17cm,Taiwan-SYNH02-C11,Taiwan-SYNH,Taiwan,no,17.0,120.409479,22.803134,0.4,125.34,3.63E-04,0.124,0.118,0.706,0.524
SYNH02_C11_10,SYNH02_C11_19cm,Taiwan-SYNH02-C11,Taiwan-SYNH,Taiwan,no,19.0,120.409479,22.803134,0.34,106.12,2.91E-04,0.114,0.112,0.646,0.479
SYNH02_C16_01,SYNH02_C16_3cm,Taiwan-SYNH02-C11,Taiwan-SYNH,Taiwan,no,2.5,120.409479,22.803134,0.04,92.75,4.77E-04,0.0935,0.153,0.537789761,0.565210239
SYNH02_C4_01,SYNH02_C4_1cm,Taiwan-SYNH02-C4,Taiwan-SYNH,Taiwan,no,1.2,120.409479,22.803134,1.16,172.1,5.69E-05,0.086,0.17,0.524013719,0.572486281
SYNH02_C4_03,SYNH02_C4_6cm,Taiwan-SYNH02-C4,Taiwan-SYNH,Taiwan,no,5.7,120.409479,22.803134,1.25,158.1,1.34E-04,0.0795,0.176,0.452820067,0.651679933
SYNH02_C4_05,SYNH02_C4_10cm,Taiwan-SYNH02-C4,Taiwan-SYNH,Taiwan,no,10.1,120.409479,22.803134,1.68,157.1,2.48E-04,0.087,0.159,0.5192013,0.6037987
SYNH02_C4_06,SYNH02_C4_12cm,Taiwan-SYNH02-C4,Taiwan-SYNH,Taiwan,no,12.4,120.409479,22.803134,1.12,156.2,2.65E-04,0.092,0.227,0.543432443,0.615567557
SYNH02_C4_07,SYNH02_C4_15cm,Taiwan-SYNH02-C4,Taiwan-SYNH,Taiwan,no,14.8,120.409479,22.803134,0.34,148.9,2.41E-04,0.0815,0.176,0.461882079,0.626617921
SYNH02_C4_08,SYNH02_C4_17cm,Taiwan-SYNH02-C4,Taiwan-SYNH,Taiwan,no,17.3,120.409479,22.803134,0.08,127.1,5.72E-04,0.065,0.157,0.311134776,0.611365224
SYNH02_C4_09,SYNH02_C4_20cm,Taiwan-SYNH02-C4,Taiwan-SYNH,Taiwan,no,19.8,120.409479,22.803134,0.06,124.9,7.51E-04,0.0615,0.4315,0.34507366,2.07792634
SYNH02_C4_10,SYNH02_C4_22cm,Taiwan-SYNH02-C4,Taiwan-SYNH,Taiwan,no,22.3,120.409479,22.803134,0.04,124.2,8.25E-04,0.0465,0.549,0.230440848,2.739059152
SYNH02_C4_14,SYNH02_C4_32cm,Taiwan-SYNH02-C4,Taiwan-SYNH,Taiwan,no,32.3,120.409479,22.803134,0.05,124.4,6.93E-04,0.055,0.3615,0.315830732,1.982169268
SYNH02_C4_18,SYNH02_C4_18,Taiwan-SYNH02-C4,Taiwan-SYNH,Taiwan,no,42.3,120.409479,22.803134,0.02,117.6,6.22E-04,0.0765,0.2235,0.416372887,1.249127113
SYNH02_C4_22,SYNH02_C4_22,Taiwan-SYNH02-C4,Taiwan-SYNH,Taiwan,no,51.5,120.409479,22.803134,0.05,120,4.03E-04,0.0825,0.1705,0.519441264,0.738558736
SYNH02_ew,SYNH02_ew,Taiwan-SYNH02-C4,Taiwan-SYNH,Taiwan,no,0.0,120.409479,22.803134,0.06,108.5,1.00E-03,0.0935,0.153,0.537789761,0.565210239
DSZ01_C1_01,DSZ01_C1_20cm,China-DSZ01,China-DSZ,China,no,20.0,84.84636,44.30517,1.23,212.5,4.14E-05,0.091,0.536,0.578,2.285
DSZ01_C1_02,DSZ01_C1_18cm,China-DSZ01,China-DSZ,China,no,18.0,84.84636,44.30517,0.91,98.5,1.09E-04,0.0297,0.182,0.558,0.882
DSZ01_C1_03,DSZ01_C1_16cm,China-DSZ01,China-DSZ,China,no,15.8,84.84636,44.30517,2.45,236.6,2.43E-05,0.0308,0.1485,0.477,0.8012
DSZ01_C1_06,DSZ01_C1_10cm,China-DSZ01,China-DSZ,China,no,9.5,84.84636,44.30517,0.59,210.1,1.04E-04,0.053,0.0985,0.5713,1.258
DSZ01_C1_08,DSZ01_C1_6cm,China-DSZ01,China-DSZ,China,no,5.5,84.84636,44.30517,4.6,229.8,1.12E-04,0.0425,0.0995,0.5088,1.1416
DSZ01_C1_10,DSZ01_C1_1cm,China-DSZ01,China-DSZ,China,no,1.3,84.84636,44.30517,16.51,245.5,7.39E-05,0.0477,0.1218,0.5356,1.0277
DSZ01_ew,DSZ01_ew,China-DSZ01,China-DSZ,China,yes,0.0,84.84636,44.30517,49.54,354.7,0,NA,NA,NA,NA
SM22_C1_01,SM22_C1_32cm,China-SM22,China-SM,China,no,31.5,84.38722,44.18269,0,98.3,2.09E-04,0.0603,0.5315,0.3035,0.8455
SM22_C1_06,SM22_C1_22cm,China-SM22,China-SM,China,no,21.5,84.38722,44.18269,0,100.6,6.44E-04,0.0575,0.442,0.3009,0.9904
SM22_C1_09,SM22_C1_16cm,China-SM22,China-SM,China,no,15.5,84.38722,44.18269,0,100,4.05E-04,0.0607,0.3855,0.3339,1.0731
SM22_C1_14,SM22_C1_6cm,China-SM22,China-SM,China,no,5.5,84.38722,44.18269,0,101.1,4.72E-04,0.0725,0.322,0.3523,1.0517
SM22_C1_16,SM22_C1_1cm,China-SM22,China-SM,China,no,1.3,84.38722,44.18269,0,103.5,2.27E-04,0.0707,0.297,0.3651,1.0522
SM22_C1_ew,SM22_C1_ew,China-SM22,China-SM,China,no,0.0,84.38722,44.18269,0,118.2,0.00E+00,0.075,0.4375,1.005374407,0.905125593
